ID,ID2,Feature,Feature2,swap_proportion,Type,Acc,Acc_after,distortion_multiple,distortion_feature,hellinger_div,wasserstein_div,cramers_v_div,total_variation_div,KL_div,JS_Div,Casuality,Importance,effect_distance,effect_distance_contrained,SP,SP_after,TPR,TPR_after,FPR,FPR_after
F_0,F_1,age,sex,0.1,NII,70.0,70.0,0,0,0.0,0.0,0.7071067811865476,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.533,0.533,0.75,0.75,0.344,0.344
F_0,F_2,age,cp,0.1,NII,70.0,71.667,0,0,0.17111348938666637,0.0026161925980381596,0.6688972286098527,0.06601731601731603,0.008791789280144176,0.046632677276114226,5.0,28.333,0.05,1.0,0.533,0.55,0.75,0.786,0.344,0.344
F_0,F_3,age,trestbps,0.1,NII,70.0,71.667,0,0,0.098792419159368,0.0026161925980381596,0.6951413356361907,0.033008658008658,0.0029011698425272913,0.0267770701337419,1.667,28.333,0.016666666666666666,1.0,0.533,0.55,0.75,0.786,0.344,0.344
F_0,F_4,age,chol,0.1,NII,70.0,70.0,0,0,0.0,0.0,0.7071067811865476,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.533,0.533,0.75,0.75,0.344,0.344
F_0,F_5,age,fbs,0.1,NII,70.0,70.0,0,0,0.0,0.0,0.7071067811865476,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.533,0.533,0.75,0.75,0.344,0.344
F_0,F_6,age,restecg,0.1,NII,70.0,70.0,0,0,0.0,0.0,0.7071067811865476,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.533,0.533,0.75,0.75,0.344,0.344
F_0,F_7,age,thalach,0.1,NII,70.0,71.667,0,0,0.098792419159368,0.0026161925980381505,0.6951950904663117,0.032866379310344807,0.0028932135753149514,0.026774480407558185,1.667,28.333,0.016666666666666666,1.0,0.533,0.517,0.75,0.75,0.344,0.312
F_0,F_8,age,exang,0.1,NII,70.0,70.0,0,0,0.0,0.0,0.7071067811865476,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.533,0.533,0.75,0.75,0.344,0.344
F_0,F_9,age,oldpeak,0.1,NII,70.0,68.333,0,0,0.098792419159368,0.0026161925980381505,0.6951950904663117,0.032866379310344807,0.002893213575315108,0.026774480407556984,1.667,31.667,0.016666666666666666,1.0,0.533,0.517,0.75,0.714,0.344,0.344
F_0,F_10,age,ca,0.1,NII,70.0,68.333,0,0,0.098792419159368,0.0026161925980381596,0.6951413356361907,0.033008658008658,0.002901169842527294,0.026777070133741886,1.667,31.667,0.016666666666666666,1.0,0.533,0.55,0.75,0.75,0.344,0.375
